node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq(GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power;sensitivity;traffic_model;traffic_load(pkt/s);packet_length;num_packets_aggregated;capture_effect_model;capture_effect_thr;constant_PER;pifs_activated;backoff_type;cw_adaptation;cw_min;cw_max;cw_stage
AP_A;0;A;3.3333;3.3333;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_A1;1;A;1.6195;2.5269;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_B;0;B;10.0000;3.3333;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_B1;1;B;7.8152;3.5409;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_C;0;C;16.6667;3.3333;0.0000;5.0;4;2;2;2;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_C1;1;C;19.1364;3.3579;0.0000;5.0;4;2;2;2;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_D;0;D;3.3333;10.0000;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_D1;1;D;2.0447;10.3469;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_E;0;E;10.0000;10.0000;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_E1;1;E;8.3615;8.1327;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_F;0;F;16.6667;10.0000;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_F1;1;F;18.4568;7.8638;0.0000;5.0;4;1;1;1;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_G;0;G;3.3333;16.6667;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_G1;1;G;6.2151;17.2627;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_H;0;H;10.0000;16.6667;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_H1;1;H;11.0902;17.2952;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_I;0;I;16.6667;16.6667;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_I1;1;I;16.7203;14.6068;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
