node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq(GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power;sensitivity;traffic_model;traffic_load(pkt/s);packet_length;num_packets_aggregated;capture_effect_model;capture_effect_thr;constant_PER;pifs_activated;backoff_type;cw_adaptation;cw_min;cw_max;cw_stage
AP_A;0;A;3.7500;3.7500;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_A1;1;A;4.9237;-0.6946;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_A2;1;A;7.6498;3.0975;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_A3;1;A;-0.9423;4.0213;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_A4;1;A;4.2306;-0.2426;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
AP_B;0;B;11.2500;3.7500;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_B1;1;B;12.5387;8.1671;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_B2;1;B;12.5856;2.8303;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_B3;1;B;9.9264;3.1342;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
STA_B4;1;B;10.0184;7.8528;0.0000;5.0;4;0;0;0;20;-82;99;1000;12000;64;0;10.0;0.0;0;0;1;0;15;5
